,full,full,part0,part0,part1,part1,part2,part2,part3,part3,part4,part4,part5,part5,part6,part6,part7,part7,part8,part8,part9,part9
iteration,train,test,train,test,train,test,train,test,train,test,train,test,train,test,train,test,train,test,train,test,train,test
900000,0.0321091,,0.027811,0.11398,0.0238145,0.117308,0.0420985,0.116282,0.0465323,0.0986041,0.0367984,0.0971574,0.0936368,0.0942988,0.0788137,0.093704,0.078504,0.0873898,0.0925111,0.102067,0.0960179,0.123723
910000,0.0809935,,0.0695233,,0.0784548,,0.0722193,,0.0921445,,0.0521578,,0.0885503,,0.0895143,,0.0908319,,0.0635559,,0.108663,
920000,0.0473216,,0.112713,,0.118749,,0.0545217,,0.0715316,,0.066802,,0.0691858,,0.0954322,,0.0910485,,0.108627,,0.0674587,
930000,0.0649612,,0.109363,,0.0434319,,0.120764,,0.0927808,,0.0642818,,0.108703,,0.0613768,,0.0561111,,0.0536741,,0.0539446,
940000,0.0742602,,0.0824044,,0.0863152,,0.0954204,,0.0615522,,0.123928,,0.0511781,,0.0745936,,0.0790496,,0.0510796,,0.0786736,
950000,0.0468153,,0.0676454,,0.0810483,,0.0678358,,0.0752283,,0.0663957,,0.0953084,,0.0938605,,0.0661919,,0.0373179,,0.0723877,
960000,0.0818429,,0.0412602,,0.0715098,,0.0595863,,0.0433026,,0.0288278,,0.0637627,,0.100581,,0.0845275,,0.0891949,,0.0608112,
970000,0.0623605,,0.0676754,,0.0493212,,0.052124,,0.0484245,,0.0787036,,0.0592607,,0.103251,,0.118887,,0.0751038,,0.0542666,
980000,0.109692,,0.0926565,,0.0460471,,0.0432122,,0.0610251,,0.0770714,,0.101674,,0.0430945,,0.0637627,,0.072259,,0.110785,
990000,0.113879,,0.0672933,,0.0717565,,0.0797558,,0.0814944,,0.0912061,,0.0924539,,0.112625,,0.0612534,,0.0362348,,0.0630218,
